10, 300, 300, 200, 300, 300, 200, 300, 200, 800, 300, 
20, 300, 300, 200, 300, 300, 300, 400, 300, 300, 300, 
30, 400, 400, 300, 300, 700, 400, 400, 300, 300, 400, 
40, 400, 500, 400, 500, 500, 400, 500, 300, 400, 400, 
50, 600, 500, 500, 500, 400, 400, 400, 500, 500, 500, 
60, 400, 500, 400, 500, 500, 600, 500, 500, 400, 500, 
70, 500, 600, 600, 600, 600, 900, 700, 800, 600, 600, 
80, 600, 500, 600, 600, 600, 600, 600, 600, 600, 600, 
90, 700, 900, 700, 700, 700, 600, 600, 600, 600, 600, 
100, 600, 600, 700, 600, 700, 600, 700, 700, 700, 600, 
110, 600, 600, 700, 600, 600, 600, 700, 700, 600, 600, 
120, 700, 700, 600, 600, 600, 700, 700, 700, 700, 700, 
130, 700, 700, 700, 700, 700, 800, 800, 700, 800, 700, 
140, 1400, 700, 700, 800, 700, 700, 700, 700, 900, 700, 
150, 700, 800, 800, 800, 800, 800, 700, 800, 800, 800, 
160, 800, 800, 900, 800, 800, 900, 800, 900, 900, 800, 
170, 1000, 800, 800, 900, 1200, 800, 900, 900, 900, 800, 
180, 900, 900, 900, 900, 900, 900, 900, 1300, 900, 900, 
190, 900, 1000, 900, 900, 1000, 900, 900, 900, 1000, 1000, 
200, 1000, 1200, 900, 1200, 1100, 1000, 1000, 1000, 1000, 900, 
210, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 900, 1000, 
220, 1100, 1000, 1000, 1000, 1200, 1000, 1000, 1000, 1300, 1400, 
230, 1100, 1100, 1100, 1000, 1000, 1000, 1100, 1200, 1000, 1100, 
240, 1200, 1100, 1100, 1100, 1100, 1100, 1100, 1200, 1100, 1100, 
250, 1100, 1100, 1100, 1100, 6600, 1200, 1100, 1100, 1100, 1200, 
260, 1100, 1200, 1300, 1100, 1300, 1100, 1200, 1100, 1100, 1200, 
270, 1200, 1100, 1200, 1200, 1300, 1200, 1400, 1200, 1200, 1200, 
280, 1300, 1300, 1600, 1200, 1200, 1200, 1200, 1200, 1500, 1300, 
290, 1300, 1300, 1300, 1300, 80400, 1300, 1200, 1400, 1300, 1200, 
300, 1300, 1300, 15100, 1300, 1400, 1200, 1300, 1400, 1400, 1300, 
310, 1400, 1300, 1300, 1500, 1400, 1300, 1300, 1300, 1300, 1300, 
320, 1400, 1300, 1400, 1400, 1700, 1300, 1300, 1400, 1400, 1400, 
330, 1400, 1300, 1400, 1400, 1600, 1300, 1500, 1500, 1300, 1400, 
340, 1400, 1400, 1400, 1400, 1900, 1500, 1500, 1800, 1600, 9900, 
350, 1300, 1500, 1500, 1500, 1400, 1500, 1400, 1500, 1500, 1500, 
360, 1500, 1400, 1500, 1400, 1500, 1400, 1500, 1500, 1600, 1500, 
370, 1600, 1500, 1500, 1500, 1600, 1500, 1500, 1800, 1500, 1600, 
380, 1500, 1500, 1600, 1500, 1600, 1500, 1600, 1500, 1600, 1600, 
390, 1600, 1600, 1600, 1500, 1700, 1600, 1500, 1600, 1600, 1600, 
400, 1600, 1700, 1600, 1600, 2000, 1600, 1600, 1500, 1700, 1600, 
410, 1600, 2000, 1600, 1800, 1700, 1600, 1700, 2000, 1600, 1700, 
420, 1700, 1600, 1700, 1600, 1700, 1700, 1800, 1700, 1800, 1700, 
430, 1700, 1700, 1800, 1700, 1700, 1800, 1800, 1800, 1600, 1800, 
440, 1800, 1700, 1800, 1700, 1700, 1700, 1700, 1700, 1800, 1800, 
450, 1800, 1700, 1900, 2000, 1700, 1800, 1800, 1800, 1800, 1800, 
460, 1800, 1800, 1800, 1900, 1800, 1800, 2000, 1800, 1900, 1800, 
470, 2200, 1900, 1900, 1800, 1900, 1800, 1800, 1800, 2200, 1900, 
480, 1900, 1800, 1900, 1900, 1900, 1900, 1900, 1800, 1800, 1900, 
490, 1900, 1900, 1800, 1900, 1900, 1900, 1800, 1900, 1900, 1800, 
500, 1900, 1900, 2000, 2000, 1900, 1800, 2000, 2000, 1900, 1900, 
